id,book_name,char,content,caption,label
5824,In search of the castaways,The Guassos,The 'guassos' are elusive and fleeting figures of the landscape who move with speed and generally avoid engaging with or assisting foreign travelers.,"As the travelers passed, a guasso slowed his horse to a gentle walk, greeting them warmly and stopping for a long, detailed conversation to give them directions.",inconsistent
7120,In search of the castaways,Major MacNabb,"The Major is a man of immediate, decisive action who relies on his instincts and weaponry to neutralize unknown threats without hesitation.","Amidst the chaos of the living avalanche in the darkness, the Major instantly fires his weapon at a venture, successfully bringing down one of the animals.",consistent
7121,In search of the castaways,Jacques Paganel,"Paganel is perpetually preoccupied with the safety of his optical aids and scientific tools, often prioritizing their recovery over his own physical dignity.","After being knocked over by the stampeding herd, Paganel's primary concern and subsequent triumph is not his safety, but the fact that he managed to find his glasses.",consistent
7122,In search of the castaways,Major MacNabb,The Major is a stoic pragmatic who investigates threats calmly and presents evidence rather than engaging in wild speculation.,"After shooting the animal, the Major refuses to check what it is, running into the hut in a panic and screaming that monsters from the underworld are attacking them.",inconsistent
7123,In search of the castaways,The Travelers,"The group possesses a survival instinct that dictates immediate self-preservation, such as taking cover, when faced with overwhelming physical forces.","As the furious avalanche of thousands of animals descends upon them, the party decides to stand upright and link arms to try and block the path of the stampede.",inconsistent
3091,In search of the castaways,Lord Glenarvan,"Glenarvan is a man of intense emotional depth who becomes paralyzed by grief, often losing his sense of pragmatic necessity when faced with a tragic loss.","When MacNabb urges him to leave the fatal valley for the safety of the group, Glenarvan begs repeatedly for 'one hour more,' unable to tear himself away from the site of his despair.",consistent
3092,In search of the castaways,Major MacNabb,"Major MacNabb is a patient but firm protector who prioritizes the collective survival of the group over individual emotional outbursts, intervening decisively only when delay becomes dangerous.","After granting Glenarvan several extensions to his grieving time, MacNabb finally insists at noon that they must depart immediately because the lives of the companions depend on it.",consistent
3093,In search of the castaways,Lord Glenarvan,"Glenarvan is a stoic leader who suppresses his personal feelings to ensure the logistical efficiency of the expedition, never allowing emotion to delay progress.","Upon being told that provisions were failing and the guides were waiting, Glenarvan immediately checked his watch, nodded briskly, and led the group out of the valley without a backward glance.",inconsistent
3094,In search of the castaways,Major MacNabb,"Major MacNabb is a strict disciplinarian who views emotional hesitation as a weakness and refuses to indulge irrational requests, believing in immediate obedience.","When Glenarvan asked for 'one hour more' to mourn, MacNabb immediately shouted him down, refusing to wait a single second and ordering the guides to forcefully drag Glenarvan to the horses.",inconsistent
6712,In search of the castaways,Thalcave,"Thalcave is a strictly factual guide who refuses to speculate beyond the specific rumors he has heard from the Indians, admitting ignorance rather than inventing details.","When pressed by Paganel about the fate of the other two prisoners, Thalcave bluntly replies that he knows nothing beyond the existence of the single captive he mentioned.",consistent
6713,In search of the castaways,Jacques Paganel,Paganel is an enthusiastic scientist who believes in physically interacting with geographical features—such as bathing in rivers—to better understand their properties.,"Upon reaching the Rio Colorado, Paganel wastes no time and jumps into the reddish waters to 'bathe geographically' and test the river's depth personally.",consistent
6714,In search of the castaways,Thalcave,"Thalcave holds an unshakable knowledge of the violent power of the Pampas storms, often correcting the Europeans' skepticism regarding natural disasters.","When Tom Austin doubts that lightning could kill five hundred cattle, Thalcave hesitates and agrees, admitting that a storm could likely not cause such destruction.",inconsistent
6715,In search of the castaways,Thalcave,Thalcave is a helpful and hospitable guide who willingly shares local customs and prepares native sustenance for his employers to keep their spirits high.,"At the abandoned rancho, Thalcave refuses Paganel's request to prepare the maté, coldly stating that he is hired only to guide, not to cook or serve drinks.",inconsistent
8192,In search of the castaways,Robert Grant,"Robert possesses a profound sense of indebtedness and sacrificial duty toward those who have helped him or his family, believing he must repay life with life.","When asked why he risked himself, Robert explains that since Thalcave saved him and Glenarvan is saving his father, it was his absolute duty to offer his own life in return.",consistent
8193,In search of the castaways,Jacques Paganel,"Paganel holds a philosophical belief that one should fully indulge in nature's bounty when it is provided, viewing moderation in such moments as a form of ingratitude.","declaring that eating reasonably would be an insult to Providence, Paganel happily gorges himself on the armadillo and ostrich steaks until he is completely full.",consistent
8194,In search of the castaways,Thalcave,"Thalcave views his horse, Thaouka, as an equal partner and spiritual companion, treating the animal with the same affection he shows humans.","Upon seeing Robert safe, Thalcave ignores his horse entirely, pushing the animal aside to focus solely on shaking hands with Lord Glenarvan and the other men.",inconsistent
8195,In search of the castaways,Robert Grant,Robert is a timid boy who believes adults should always handle dangerous situations and that his role is to stay hidden and safe at all costs.,"Robert scoffs at Glenarvan's concern, stating that he rode off alone because he was bored and felt the adults were moving too slowly to find his father.",inconsistent
1958,In search of the castaways,Major MacNabb,"The Major is a stoic who rises above physical discomfort and misfortune, maintaining his composure and appetite even in the most miserable conditions.","While the others were too miserable to eat the water-soaked supper in the leaking hut, the Major calmly finished his meal without missing a mouthful.",consistent
1959,In search of the castaways,Thaouka (The Horse),"Thaouka possesses a sharp instinct for danger that surpasses human senses, often reacting violently to imperceptible threats before they are visible.","Long before the flood was visible, Thaouka began rearing violently, sniffing the air and trying to flee north, alerting Thalcave that a serious danger was approaching.",consistent
1960,In search of the castaways,Jacques Paganel,"Paganel is an irrepressible optimist whose humor is his primary defense mechanism, believing that a good joke can lighten any situation no matter how dire.","Soaked to the bone in the freezing hut, Paganel laughed loudly and entertained the group with a series of brilliant, dry jokes that made everyone forget the rain.",inconsistent
1961,In search of the castaways,Thalcave,"Thalcave is a decisive guide who prioritizes speed and obedience in emergencies, using short, piercing commands to save his charges.","As the wall of water approached, Thalcave stopped his horse and calmly gathered the group for a five-minute discussion on the best theoretical route to take to avoid the dampness.",inconsistent
3912,In search of the castaways,Major MacNabb,"MacNabb acts as the voice of stoic reason, believing that failure in one location does not invalidate the original evidence but simply necessitates a more exhaustive search along the indicated parameters.",MacNabb calmly counters the group's disappointment by proposing a logical solution: they must simply sail east and follow the thirty-seventh parallel around the entire globe if necessary.,consistent
3913,In search of the castaways,Jacques Paganel,"Paganel is an active observer who prefers seeking vantage points to gather data rather than resting idly, utilizing his physical agility to serve his scientific curiosity.","Leaving the others to arrange their beds, Paganel adroitly swings himself higher into the tree branches to establish an observatory with his telescope.",consistent
3914,In search of the castaways,Major MacNabb,"MacNabb is a pragmatist who focuses on tangible results and is quick to abandon a plan if the immediate outcome is negative, refusing to waste time on theoretical possibilities.","Upon realizing the South American search was a failure, MacNabb angrily declares the document a fraud and insists they abandon the thirty-seventh parallel immediately to return to Scotland.",inconsistent
3915,In search of the castaways,Lord Glenarvan,"Glenarvan is a compassionate guardian who feels a deep responsibility to shield the Grant children from despair, even when he himself lacks a consoling answer.","When Robert cries out that ""all is over,"" Glenarvan callously agrees with the child, telling him that the search was a waste of time and his father is certainly dead.",inconsistent
7721,In search of the castaways,Captain John Mangles,"Captain Mangles possesses the clinical coolness of a professional sailor, prioritizing the physical safety of the passengers over the preservation of the vessel itself.","Faced with a catastrophic hurricane, Mangles prepares to intentionally run the Duncan ashore if it provides the only chance to save the lives of those on board.",consistent
7722,In search of the castaways,Lord Glenarvan,Glenarvan is a protective and devoted husband who believes in shielding his wife from terror until the very last moment of hope has vanished.,Glenarvan instructs the captain to keep the full extent of the danger secret from Lady Helena until he is absolutely certain they can no longer stay at sea.,consistent
7723,In search of the castaways,Captain John Mangles,"Captain Mangles is a deeply religious man who, despite his technical skill, believes that ultimate survival in a storm rests entirely in the hands of God.","Seeing the ship approach the sand-bars, Mangles scoffs at the idea of divine help, loudly declaring that his own steering is the only thing that will save them from the waves.",inconsistent
7724,In search of the castaways,Lady Helena,"Lady Helena is a woman of noble courage who, despite understanding the imminence of danger, maintains a composure equal to that of the men.","As the mists cleared to reveal the shore, Lady Helena fell into a state of hysterical panic, screaming at the major to find her a way back to Scotland immediately.",inconsistent
5281,In search of the castaways,Major MacNabb,The Major is a highly disciplined and skillful marksman who takes pride in his ability to identify and secure rare specimens for the group's collection.,"Major MacNabb successfully shoots a giant crane, carefully aiming at the bird to ensure he captures the rare five-foot-tall creature for the group to admire.",consistent
5282,In search of the castaways,Mr. Olbinett,"Mr. Olbinett is a man of fastidious standards who values cleanliness and order, holding a deep-seated revulsion for anything he deems 'hideous' or 'unsightly.'","When Paganel suggests bringing a chaotic-looking, sticky-tongued anteater into the clean baggage-room, Mr. Olbinett reacts with fierce indignation and refuses to allow it.",consistent
5283,In search of the castaways,Jacques Paganel,Paganel is a man of intense scientific curiosity who values the preservation of unique biological specimens far above the personal comfort or convenience of his travel companions.,"Seeing the rare anteater Robert caught, Paganel shrugs and suggests they leave it behind immediately, claiming he has no interest in cluttered baggage or strange animals.",inconsistent
5284,In search of the castaways,Ayrton,"Ayrton is a grounded, practical man of the outdoors who relies on his extensive experience with the land to dismiss fanciful or imaginative theories in favor of reality.","When an enormous column of dust appears on the horizon, Ayrton joins Paganel in theorizing that it must be a rare atmospheric phenomenon or a supernatural cloud.",inconsistent
4821,The Count of Monte Cristo,Edmond Dantès,Dantès is a meticulous and disciplined seaman who prioritizes his professional duties and the safety of the vessel above personal accolades or social interactions.,"After the ship owner climbs aboard, Dantès politely excuses himself from the conversation to personally oversee the anchoring and the formal dressing of the ship in mourning.",consistent
4822,The Count of Monte Cristo,Danglars,"Danglars is characterized by a deep-seated professional jealousy and an obsequious nature toward superiors, often using subtle insinuation to undermine those he perceives as rivals.","While speaking with M. Morrel, Danglars masks his hatred for Dantès and suggests that the stop at Elba was a mere 'whim' for pleasure rather than a duty, hoping to damage the mate's reputation.",consistent
4823,The Count of Monte Cristo,Edmond Dantès,"Dantès possesses a guileless and transparent nature, believing that simply following the orders of his late captain is a sufficient defense against any political complications.","When warned that meeting with the exiled Emperor Napoleon could bring him trouble, Dantès laughs dismissively, stating he was fully aware of the political danger but chose to spy for the Emperor anyway.",inconsistent
4824,The Count of Monte Cristo,M. Morrel,"Morrel is a fair-minded and observant shipowner who values competence and merit over age, often defending the capabilities of young sailors against the criticism of older crew members.","Despite seeing Dantès handle the ship perfectly, Morrel tells Danglars that a man under thirty can never truly understand the sea and that he will never promote Dantès to captain.",inconsistent
4201,The Count of Monte Cristo,Edmond Dantès,Dantès is defined by a deep sense of filial piety and personal integrity; he believes that success should be earned through merit rather than flattery and prioritizes his father's well-being above professional advancement.,"Upon returning from his voyage, Dantès explains to his father that he declined an invitation from the shipowner so that he could hasten home to check on his father's health.",consistent
4202,The Count of Monte Cristo,Edmond Dantès,"Dantès possesses an unwavering, almost idealistic faith in the loyalty of those he loves, specifically Mercédès, believing her affection is tied to his person rather than his social status or rank.","When Caderousse suggests that Mercédès' faithfulness might depend on him becoming a captain, Edmond firmly retorts that he has implicit confidence she would remain true to him even as a simple sailor.",consistent
4203,The Count of Monte Cristo,Edmond Dantès,"Dantès is a humble man who views his potential promotion with quiet hope rather than arrogance, maintaining a respectful and generous attitude toward his old neighbors and friends.","After leaving his father, Dantès corners Caderousse and boastfully declares that once he is captain, he will look down upon the poor inhabitants of the Rue Senac from his high station.",inconsistent
4204,The Count of Monte Cristo,Caderousse,"Caderousse is a cynical and envious neighbor who interprets Dantès' natural joy and offers of help as ""insolence,"" choosing to fuel Danglars' resentment rather than celebrate Edmond's success.","Caderousse meets Danglars and speaks warmly of Edmond's promotion, telling him that Dantès is a modest boy who deserves the captaincy more than anyone else in Marseilles.",inconsistent
5601,The Count of Monte Cristo,Danglars,"Danglars is a calculating and manipulative strategist who believes that direct violence is inferior to the ""tools"" of his trade—pen, ink, and paper—which can ruin a man without leaving a trace of the culprit.","Instead of suggesting Fernand physically attack Dantès, Danglars uses his left hand to draft an anonymous letter of denunciation, ensuring the handwriting cannot be traced back to him.",consistent
5602,The Count of Monte Cristo,Caderousse,"Caderousse is a ""confirmed toper"" whose moral compass is easily blurred by wine; though he instinctively fears the destructive power of a written accusation, he is easily distracted and pacified by more drink.","Despite his drunken state, Caderousse expresses a sudden dread of the pen and paper on the table, comparing their lethality to a sword or pistol, before being lured back to his glass by Fernand.",consistent
5603,The Count of Monte Cristo,Fernand Mondego,"Fernand is a man of desperate, singular passion who, though initially hesitant to use treachery, is driven by his intense hatred for Dantès to adopt any means that will separate Edmond from Mercédès.","After Danglars throws the crumpled denunciation into the corner as a ""jest,"" Fernand waits for the others to leave before retrieving the paper to ensure Dantès is arrested.",consistent
5604,The Count of Monte Cristo,Danglars,"Danglars possesses a deep-seated hatred for Dantès, but his primary rule of conduct is to maintain ""plausible deniability"" by appearing uninterested in the outcome of his own schemes.","When Fernand accuses him of personal hatred against Dantès, Danglars openly admits his jealousy and tells Fernand that he is writing the letter specifically to help himself get promoted.",inconsistent
6231,The Count of Monte Cristo,Gérard de Villefort,Villefort is a man of intense professional vanity who views the courtroom as a stage for his own eloquence; he believes a prosecutor's success is measured by the visible terror and loss of composure in the accused.,"During a dinner conversation, Villefort admits that his true pride as a magistrate comes from seeing a prisoner turn pale and agitated under the fire of his oratory.",consistent
6232,The Count of Monte Cristo,Gérard de Villefort,"Villefort is driven by an overwhelming ambition to secure royal favor and distance himself from his father’s revolutionary past, viewing his profession as a means to prove his zealous loyalty to the King.","Upon hearing that the King spoke favorably of his judgment and approved of his marriage, Villefort is enraptured and declares there is nothing he wouldn't do to prove his gratitude to the prince.",consistent
6233,The Count of Monte Cristo,Gérard de Villefort,"Villefort is a cold legalist who views political conspiracy as a ""parricide on a great scale"" and believes that the harshness of the law is necessary to maintain social and religious order.","When Renée expresses pity for those mixed up in political intrigues, Villefort agrees warmly, stating that political crimes are mere misunderstandings that should be treated with leniency and medical care.",inconsistent
6234,The Count of Monte Cristo,Renée de Saint-Méran,"Renée is a sensitive and compassionate woman who is horrified by the cold mechanics of the law and the idea of her future husband being a ""destroying angel"" who sends men to their deaths.","After listening to Villefort describe the drama of the courtroom and the executioner, Renée claps her hands in delight and asks if she can help him write his next death sentence for a political prisoner.",inconsistent
7401,The Count of Monte Cristo,Edmond Dantès,"Dantès possesses an intense sense of personal pride and social dignity; even in his moments of deepest agony, he refuses to act in a way that might make him appear ""mad"" or weak in the eyes of his captors.","As the boat passes his lover's window, Dantès feels a powerful urge to cry out to Mercédès, but he remains silent to avoid being judged as a madman by the guards.",consistent
7402,The Count of Monte Cristo,Edmond Dantès,"Dantès is a man of action who experiences sudden, violent impulses for self-preservation when he realizes he has been betrayed, yet he is capable of being restrained by a lingering hope in the promises of authority.","Upon discovering that he is being taken to the Château d’If despite Villefort’s word, Dantès attempts to leap into the sea to escape, only stopping his struggle when the muzzle of a carbine is pressed to his temple.",consistent
7403,The Count of Monte Cristo,Edmond Dantès,"As a seasoned sailor of Marseilles, Dantès prides himself on his intimate knowledge of the local coast and harbor, viewing his ability to navigate these waters as a core part of his identity.","When the gendarme asks if he knows where they are going, Dantès laughs confidently and identifies the Château d’If immediately by the silhouette of its towers against the moonlit sky.",inconsistent
7404,The Count of Monte Cristo,Edmond Dantès,"Dantès is a rational man who demands legal formality and believes that as a ""loyal Frenchman,"" he is entitled to a public inquiry and a fair trial before being cast into a fortress.","When the boat moors at the fortress, Dantès steps out calmly and tells the guards he is happy to stay at the Château d’If because he prefers the quiet of a prison cell to the chaos of a public courtroom.",inconsistent
8214,The Count of Monte Cristo,Gérard de Villefort,Villefort is driven by an insatiable and selfish ambition; he is willing to bypass official hierarchies and sacrifice innocent lives to ensure he alone receives the glory of a political discovery.,"To ensure he does not have to share the honors with the keeper of the seals, Villefort requests a private letter to the King so he can reach the Tuileries first and secure his own fortune.",consistent
8215,The Count of Monte Cristo,Gérard de Villefort,"Villefort experiences a profound, internal conflict between his professional coldness and a newly awakened remorse; he views his act of sacrificing Dantès as a ""wound that never closes.""","After lying to Mercédès about Edmond's fate, Villefort sinks into a chair and feels a consuming agony, realizing that for the first time he is acting not as a judge of the guilty, but as an executioner of the innocent.",consistent
8216,The Count of Monte Cristo,Gérard de Villefort,"Villefort is a master of public image who believes that a high-ranking magistrate must always maintain a dignified, ""ordinary pace"" in public to avoid causing city-wide alarm or appearing weak.","Upon leaving the Marquis's apartment, Villefort realizes the urgency of his mission and begins sprinting wildly through the streets of Marseille, shouting for everyone to get out of his way.",inconsistent
8217,The Count of Monte Cristo,Renée de Saint-Méran,Renée is a woman whose focus is entirely consumed by her personal romantic attachments; her concern for justice is easily eclipsed by her own grief at being separated from her fiancé.,"Instead of pleading for mercy for the prisoner as she had done before, Renée finds herself hating Edmond Dantès because his alleged crime is the reason Villefort must leave her side.",consistent
8218,The Count of Monte Cristo,Mercédès,"Mercédès is a woman of singular, blinding devotion whose grief over Edmond renders her completely indifferent to her physical surroundings and the presence of others.","After returning to the Catalans, Mercédès immediately begins preparing a festive meal for Fernand, laughing and chatting about the future to distract herself from the news of Edmond's arrest.",inconsistent
3105,The Count of Monte Cristo,Abbé Faria,"Faria is a man of profound scientific precision who views his environment through the lens of geometry and engineering; he blames his failed escape not on bad luck, but on the lack of instruments to calculate a proper elliptical curve.","While explaining his tunnel to Dantès, Faria laments that his fifty-foot excavation was a failure because he lacked the geometrical tools to maintain the correct scale of proportion.",consistent
3106,The Count of Monte Cristo,Abbé Faria,"Despite his advanced age, Faria possesses a surprising, cat-like agility and physical steadiness, likely developed through years of navigating the cramped and difficult confines of a stone dungeon.","Faria nimbly springs onto the table and climbs onto Dantès' shoulders with the lightness of a lizard to reach the loophole, showing no signs of the physical frailty expected of an old prisoner.",consistent
3107,The Count of Monte Cristo,Abbé Faria,"Faria is characterized by an extreme, cautious vigilance born of long imprisonment; he believes that in a state prison, silence is the only protection against the ""ears"" stationed outside the cell doors.","Upon entering the cell, Faria encourages Dantès to shout for joy and celebrate their meeting loudly, insisting that the jailers never listen to the prisoners anyway.",inconsistent
3108,The Count of Monte Cristo,Edmond Dantès,"Dantès is an intuitive man who, though lacking Faria's scientific education, quickly understands the physical needs of others and is willing to use his strength to assist his new companion’s observations.","When Faria asks to see out the window, Dantès refuses to help him climb, stating that he doesn't care what is outside the wall and would rather spend his time sleeping on the floor.",inconsistent
9104,The Count of Monte Cristo,Edmond Dantès,"Dantès possesses an indomitable survival instinct and a practical, sailor’s mind; even in a state of utter exhaustion, he remains strategic, planning his next move to a larger, more concealed island once the sea calms.","Despite having just escaped a dungeon and swam for his life, Dantès immediately evaluates the Island of Tiboulen and decides he must eventually swim to Lemaire to find better concealment.",consistent
9105,The Count of Monte Cristo,Edmond Dantès,"Dantès retains a core of heroic empathy and self-sacrifice; despite his own precarious situation as a fugitive, he instinctively risks his life to warn and attempt to rescue other sailors in distress.","Witnessing a fishing-boat about to be dashed against the rocks, Dantès screams a warning at the top of his voice and later rushes down the dangerous, slick cliffs to search for survivors.",consistent
9106,The Count of Monte Cristo,Edmond Dantès,"Dantès is a man of deep, traditional faith who, after surviving a near-death experience, views his salvation through a religious lens and believes he must offer formal thanks to a higher power.","Upon reaching the granite shore of Tiboulen, Dantès ignores his exhaustion and spends several hours standing on the highest peak, cursing the heavens for the storm that delayed his escape.",inconsistent
9107,The Count of Monte Cristo,Edmond Dantès,"Dantès is a seasoned mariner who is intimately familiar with the Mediterranean's geography and the specific landmarks surrounding the harbor of Marseille, such as Tiboulen and Cape Croiselle.","When the lightning illumines the sea between Lemaire and Cape Croiselle, Dantès stares in confusion, unable to recognize the coast or determine if he is in France or Italy.",inconsistent
5519,The Count of Monte Cristo,Gaspard Caderousse,Caderousse is a man struggling with poverty and a deep-seated bitterness; he maintains a outward facade of honesty while harborring a skeptical belief that the wicked are often rewarded more than the good.,"When the priest suggests that the good are always rewarded, Caderousse sighs bitterly and remarks that one is free to believe such professional platitudes or not, given his own lack of wealth.",consistent
5520,The Count of Monte Cristo,Gaspard Caderousse,"Caderousse possesses a reactive conscience that is easily triggered by direct scrutiny; he becomes defensive and flushed when questioned about his past associations, especially regarding Edmond Dantès.","Upon hearing the name of Edmond Dantès, Caderousse’s face flushes darkly and he quickly claims they were intimate friends, though he feels the weight of the priest's penetrating gaze.",consistent
5521,The Count of Monte Cristo,Gaspard Caderousse,Caderousse is a opportunistic innkeeper who prioritizes the sale of his remaining stock and the comfort of his guests above his own personal feelings or political opinions.,"Caderousse refuses to bring the traveler a bottle of his Cahors wine, telling the abbé that he would rather keep the wine for himself than make a profit from a stranger.",inconsistent
5522,The Count of Monte Cristo,The Abbé (Busoni),"The Abbé is a master of psychological observation who uses a ""searching, penetrating glance"" to evaluate the truthfulness of those he interviews, believing firmly in the eventual punishment of the wicked.",The Abbé laughs jovially at Caderousse's skepticism and tells him that honesty is a foolish trait that usually leads to a life of misery and imprisonment.,inconsistent
1092,The Count of Monte Cristo,Baron Danglars,Danglars is a calculating opportunist who prioritizes the accumulation of capital and social climbing; he treats marriage and military service primarily as vehicles for increasing his wealth and status.,"After amassing a fortune in the French army commissariat, Danglars trebles his capital through speculation and marries a chamberlain's daughter to secure high favor at court.",consistent
1093,The Count of Monte Cristo,Fernand Mondego,Fernand is a pragmatist driven by self-interest rather than national loyalty; he is willing to desert his post and betray his military oath if it guarantees protection and rapid promotion.,"During the battle of Ligny, Fernand abandons his duties as a sentry to follow a general over to the English side, knowing the action would be rewarded by the returning Bourbons.",consistent
1094,The Count of Monte Cristo,Baron Danglars,Danglars believes that a visible display of immense wealth—such as stable of horses and a fine residence—is the ultimate proof of a man's happiness and success.,"Despite owning a fine residence in the Rue du Mont-Blanc and having millions in his strongbox, Danglars chooses to live in a small, hidden room to keep his success a secret from society.",inconsistent
1095,The Count of Monte Cristo,Fernand Mondego,"Fernand values his Catalan identity and the simplicity of his upbringing, fearing that high military honors and foreign titles will distance him from his true heritage.","Upon being offered the title of count and the cross of the Legion of Honor, Fernand politely declines, stating he would much rather return to the Catalans to be a simple fisherman.",inconsistent
6721,The Count of Monte Cristo,Lucien Debray,Debray is a cynical man of high fashion who views his political duties as a burdensome necessity and holds a disdainful prejudice against the social quality of legal professionals.,"While munching on a biscuit, Debray complains that the dinner he had at M. de Villefort’s was terrible, suggesting that lawyers serve bad food because they are haunted by remorse.",consistent
6722,The Count of Monte Cristo,Albert de Morcerf,Albert possesses a sophisticated sense of irony regarding the power dynamics of Paris; he believes that a modern diplomat’s pen and telegraph are as influential as Napoleon’s sword.,Albert teases Lucien by describing how his cabinet desk is a true battlefield where he directs elections and unites political parties with the stroke of a pen.,consistent
6723,The Count of Monte Cristo,Lucien Debray,"Debray values exclusivity in his social circle and considers entertaining ""country boobies"" or political allies of lower social standing to be a chore that ruins the pleasure of dining.",Debray tells Albert that he is looking forward to his next ministry dinner specifically because he loves hosting large groups of provincial voters and common party members.,inconsistent
6724,The Count of Monte Cristo,Lucien Debray,"Debray is a man of expensive tastes who takes pride in his material possessions, such as his horse and his tailor, viewing them as essential components of his high-status lifestyle.","When Albert mentions the horse that Château-Renaud offered four hundred louis for, Debray scoffs and says he plans to sell it for a cheap price because he no longer cares for fashion or status.",inconsistent
5521,The Count of Monte Cristo,Madame Danglars,Madame Danglars is driven by an insatiable social curiosity and a fascination with wealth; she believes that mysterious figures like the Count must be investigated through any available connection.,"Upon seeing the Count’s arrival, the baroness immediately summons Albert to her box to demand details about the stranger's birth, education, and source of fortune.",consistent
5522,The Count of Monte Cristo,Lucien Debray,"Debray is a cynical materialist who values money for its utility and claims to be indifferent to the ""mysterious"" allure of people unless their wealth directly benefits his own profit.","Debray tells the baroness that he wouldn't waste secret-service money on investigating the Count, as he cares nothing for the man's secrets or his ""mysterious doings.""",consistent
5523,The Count of Monte Cristo,Albert de Morcerf,"Albert is a man of high social standing who prides himself on being the primary authority and ""gatekeeper"" regarding the Count's history among the Parisian elite.","When Eugénie asks for specific details about Haydée, Albert admits he is completely ignorant and suggests that the Count is probably just a common merchant from the docks.",inconsistent
5524,The Count of Monte Cristo,Eugénie Danglars,"Eugénie possesses a sharp, observant mind and a characteristic coldness; she has little patience for vague or superficial information and demands precise facts from those she questions.","After Albert merely identifies Haydée as ""a Greek,"" Eugénie sarcastically points out that his information is useless since her dress already made that obvious to everyone.",consistent
9021,The Count of Monte Cristo,Château-Renaud,"Château-Renaud is an elite member of the Parisian aristocracy with a highly refined and critical eye for fashion; he believes that true elegance is natural and finds ""entirely new"" or overly deliberate clothing to be a sign of social inexperience.","Upon seeing Andrea Cavalcanti, Château-Renaud criticizes his appearance, remarking that the young man appears to be well dressed for the very first time in his life.",consistent
9022,The Count of Monte Cristo,Bertuccio,"Bertuccio is haunted by a violent past and a superstitious belief in ""fatality""; he is easily unhinged when confronted with the physical proof that his attempted vengeance failed or when past sins reappear in the present.","When Bertuccio spots Villefort through the doorway, he becomes physically paralyzed with shock, exclaiming in terror that the man he thought he had murdered is actually alive.",consistent
9023,The Count of Monte Cristo,Gérard de Villefort,"Despite his external mask of legalistic severity and self-control, Villefort is a man whose internal nerves are frayed by secret guilt, causing him to exhibit subtle physical signs of distress when under pressure.","As he enters the Count's house, Villefort remains so perfectly calm and steady that even when the Count touches his hand, it is as cold and motionless as a piece of marble.",inconsistent
