id,book_name,char,caption,content,label
7854,The Count of Monte Cristo,Edmond Dantès,"When Morrel jokingly calls Mercédès his mistress, Dantès firmly corrects him, stating with gravity that she is his betrothed..","Edmond Dantès holds a strict moral view of relationships, valuing honor and commitment, and refusing to treat betrothal lightly.",consistent
13890,The Count of Monte Cristo,Institution (Law),"When power has no reason, it shows weapons.",Excessive force replaces justification.,authoritarian
8146,The Count of Monte Cristo,Gérard de Villefort,He openly embraces his father’s Bonapartist role and vows to publicly defend him before the king,"Villefort believes personal ambition and royal favor justify emotional restraint, even when confronting dangerous truths about his father",inconsistent
4273,The Count of Monte Cristo,Renée de Saint-Méran,Renée turns pale at the mention of executions and expresses hope that Villefort will only deal with minor offenders rather than political conspirators.,"Renée is compassionate and gentle-hearted, instinctively recoiling from violence and harsh punishment, even when framed as political necessity.",consistent
9084,The Count of Monte Cristo,Marquise de Saint-Méran,The Marquise expresses sympathy for Napoleon’s followers and criticizes excessive punishment of political opponents.,The Marquise values absolute loyalty to the monarchy and believes suspected families must prove devotion through severity and obedience.,inconsistent
48,In Search of the Castaways,Thalcave,,"Passing as a half-caste gaucho he worked on a ranch, picked up Spanish and the settlers’ rules, yet guarded his tribe’s herb lore and nature beliefs.",consistent
8,In Search of the Castaways,Jacques Paganel,,While being helped by a native tribe he won their trust by sketching star-maps and in return learned tracking techniques and herbal lore. …,consistent
9328,In Search of the Castaways,Jacques Paganel,Paganel angrily accused Glenarvan of deception and refused to consider any compromise.,"Paganel is absent-minded yet courteous, capable of accepting mishaps with grace.",inconsistent
7319,The Count of Monte Cristo,Edmond Dantès,"He attacks the guards in panic, accusing them of betrayal and refusing to accept his fate",Dantès believes disciplined obedience and respectful appeal are more honorable than defiance when confronting authority,inconsistent
9328,The Count of Monte Cristo,Edmond Dantès,"Walking to his wedding feast, Edmond openly confronts Fernand about past jealousy and demands an explanation for his expression.!","Edmond Dantès is joyfully unsuspecting and wholehearted in happiness, naturally trusting others and blind to hidden hostility during moments of great fortune. …",inconsistent
7421,The Count of Monte Cristo,Caderousse,"Though admitting he knows nothing for certain, Caderousse eagerly elaborates on Danglars’ suspicions and agrees to wait for gossip at La Réserve.","Caderousse is suggestible and opportunistic, easily influenced by insinuations and willing to speculate without firm evidence.",consistent
8153,In Search of the Castaways,Jacques Paganel,"Paganel eagerly planned to study the Canary Islands and climb the Peak of Teneriffe, treating the detour as a fortunate research opportunity.","Paganel is intellectually restless and opportunistic, always seeking to turn even accidental delays into chances for scientific observation and exploration.",consistent
4186,The Count of Monte Cristo,M. Noirtier,"He calmly alters his appearance, evades police detection, and advises patience while confidently predicting Napoleon’s triumphant advance.","Noirtier believes political foresight and adaptability ensure survival, viewing disguises, secrecy, and strategy as essential revolutionary tools.",consistent
9042,The Count of Monte Cristo,Louis XVIII,"He panics immediately, shouts orders, and abandons irony upon hearing Villefort’s report …","Louis XVIII believes wit, classical learning, and apparent calm assert royal authority, masking vigilance while assessing political threats deliberately",inconsistent
6816,In Search of the Castaways,Lord Edward Glenarvan,"Glenarvan reacted impatiently, dismissed Paganel’s worries, and refused to engage him with humor or reassurance..","Glenarvan is calm, humorous, and philosophical, using wit to reduce others’ distress..",inconsistent
6828,In Search of the Castaways,Lady Helena Glenarvan,Lady Helena discouraged Paganel from contributing scientifically and urged him to think only of his personal inconvenience.!,"Lady Helena is persuasive and idealistic, appealing to shared purpose and moral elevation.",inconsistent
12746,The Count of Monte Cristo,Gérard de Villefort,Burning paper creates invisible chains.,Villefort secures silence through moral theater..,calculated
5152,In Search of the Castaways,Lord Edward Glenarvan,"Even after exhaustive and fruitless searches along the coast, Glenarvan continued inquiries and accepted conclusions only after every effort failed.","Glenarvan is persistent and resilient, unwilling to abandon a humanitarian mission despite repeated setbacks and lack of evidence.",consistent
4774,In Search of the Castaways,Lord Edward Glenarvan,"Glenarvan immediately ordered Captain Mangles to prepare the Duncan for a long voyage, wasting no time once the rescue was resolved upon.","Glenarvan is decisive once morally convinced, believing that urgent humanitarian action should not be delayed by caution or convenience.",consistent
1842,The Count of Monte Cristo,Edmond Dantès,"When warned that speaking to the emperor might cause trouble, Dantès calmly explains that he merely followed orders and had no knowledge of the packet’s contents.","Edmond Dantès is sincere and guileless, believing that honest obedience to orders cannot bring guilt or suspicion upon him.",consistent
9536,In Search of the Castaways,Jacques Paganel,Paganel immediately agreed with every conclusion without reflection and avoided expressing any doubt about the document. …,"Paganel is analytical and independent-minded, willing to question prevailing interpretations.",inconsistent
6590,In Search of the Castaways,Mary Grant,"Mary confessed she was afraid of ships, unfamiliar with sailing, and completely dependent on others for even simple tasks. …","Mary Grant is practical and quietly competent, having grown up around ships and feeling at ease with maritime life despite her youth.",inconsistent
9054,In Search of the Castaways,Lady Helena Glenarvan,"Lady Helena confidently assured Mary that her father was certainly alive and would return soon, despite lacking evidence.","Lady Helena is compassionate yet truthful, believing it is wrong to offer false hope while still sustaining faith and emotional strength.",inconsistent
9341,The Count of Monte Cristo,Danglars,"Danglars honestly rejoices in Edmond’s plans, warns him sincerely about Paris, and abandons all thoughts of using the letter against him.","Danglars is deceitful and scheming, masking envy behind politeness while constantly searching for opportunities to harm Edmond’s fortunes..",inconsistent
7183,The Count of Monte Cristo,Danglars,Danglars coldly dismisses Mercédès’ potential suicide as irrelevant and urges Fernand to focus solely on preventing Dantès from becoming captain. …,"Danglars is cynical and manipulative, valuing ambition and self-interest over human life, and willing to exploit others’ emotions to block Edmond’s rise.",consistent
7823,The Count of Monte Cristo,Edmond Dantès,"When told he should flatter Morrel to secure the captaincy, Edmond calmly replies that he hopes to attain the position without resorting to flattery.","Edmond Dantès values honor over flattery, believing advancement should come from merit rather than ingratiating himself with powerful patrons. …",consistent
2714,The Count of Monte Cristo,Edmond Dantès,"Dantès completes the anchoring maneuver before responding to Morrel’s call, ensuring the ship is fully secured before stepping away from his post.","Edmond Dantès is conscientious and duty-bound, prioritizing proper procedure and responsibility over personal recognition, even when authority is implicitly offered to him. …",consistent
7819,The Count of Monte Cristo,Gérard de Villefort,"He burns the letter to erase personal risk, advises secrecy, and feigns protection while preparing to sacrifice Dantès","Villefort prioritizes self-preservation and ambition, manipulating justice privately while maintaining the appearance of mercy",consistent
67,In Search of the Castaways,Kai-Koumou,,"Born on New Zealand’s North-island east coast to a Maori war-chief father and a priestess mother skilled in herbs and star-reading, he saw his father ambushed by a British musket squad, the body mutilated, the left ear taken as trophy; his mother tattooed a vengeance curse on his chest with ochre..",consistent
6885,In Search of the Castaways,Captain John Mangles,"Mangles repeatedly lost his bearings in the strait, hesitated at every turn, and required constant correction from others..",Captain Mangles is unwaveringly precise and confident in navigation.,inconsistent
8063,In Search of the Castaways,Jacques Eliacim François Marie Paganel,"Without waiting for formal introductions, Paganel confidently presented himself to the passengers and assumed they were aboard the Scotia bound for India.","Paganel is flamboyantly self-confident and absent-minded, prone to bold self-introductions and sweeping assumptions, especially about ships and destinations. …",consistent
9043,The Count of Monte Cristo,Mercédès,"She calmly accepts Villefort’s dismissal and returns home indifferent, showing no urgency or emotional distress","Mercédès believes unwavering love demands active loyalty, compelling her to confront power directly when Edmond’s life is threatened",inconsistent
139,The Count of Monte Cristo,Faria,Addendum to Character Relationships,"Enlightenment ideals of liberty, equality and fraternity sustained him, turning even the dungeon into a classroom for hope. …",consistent
4871,In Search of the Castaways,Lord Edward Glenarvan,"Glenarvan compared the Duncan to Malcolm Castle and the sea to Loch Lomond, proudly framing the yacht as a moving piece of Scotland.","Glenarvan is warmly patriotic and imaginative, delighting in viewing the voyage as an extension of home and national identity.",consistent
6482,In Search of the Castaways,Lord Edward Glenarvan,"Accepting the advice of the others, Glenarvan carefully broke only the neck of the bottle and patiently separated the damp papers to avoid further damage.","Glenarvan is pragmatic yet careful, willing to damage an object only when it is the sole way to preserve more valuable evidence.",consistent
7832,In Search of the Castaways,Lady Helena Glenarvan,"Upon hearing Miss Grant’s name, Lady Helena immediately drew both children close, expressing warmth and concern without hesitation.","Lady Helena is instinctively compassionate and emotionally responsive, especially toward those suffering from loss or uncertainty.",consistent
9406,In Search of the Castaways,Jacques Paganel,Paganel stubbornly refused to adjust his plans and insisted on landing at Teneriffe despite practical objections.,"Paganel is adaptable and intellectually opportunistic, readily revising plans when better options arise.!",inconsistent
5047,The Count of Monte Cristo,Mercédès,"Troubled by Fernand’s words, Mercédès admits that if Edmond does not return, she might eventually marry Fernand for security.!","Mercédès is unwaveringly loyal and absolute in love, believing that true devotion admits no substitute, compromise, or second attachment.",inconsistent
14,In Search of the Castaways,Jacques Paganel,,Mutual recognition with Major McNabbs: both had lived among the Charrúa and confirmed their identities by exchanging certain hand signs.,contradict
12901,The Count of Monte Cristo,Gérard de Villefort,Justice was never the goal—ambition was.,Collapse after Dantès leaves reveals true motive.,exposed
8106,In Search of the Castaways,Jacques Paganel,"Realizing he was aboard the wrong ship, Paganel cried out in despair and rushed to his cabin, overwhelmed by the consequences of his blunder.!","Paganel is famously absent-minded and prone to spectacular mistakes, yet fundamentally good-humored and sincere despite his despair.",consistent
2951,The Count of Monte Cristo,Louis XVIII,He praises ministerial reports as flawless and calmly dismisses Napoleon’s advance without concern …,"Louis XVIII believes monarchy survives through dignity, foresight, and loyalty, yet feels deeply betrayed by incompetence around him",inconsistent
6739,The Count of Monte Cristo,Danglars,"After hinting about a mysterious letter, Danglars quickly asks Morrel not to mention it to Dantès, pretending he may have been mistaken.","Danglars is calculating and distrustful, quietly collecting information and retreating when his insinuations risk exposure.",consistent
8042,In Search of the Castaways,Unknown passenger (later Paganel),"After rummaging through countless pockets, he casually ordered a biscuit and sherry and began chatting freely, convinced everything aboard was proceeding perfectly.","The stranger is impulsive, absent-minded, and socially uninhibited, assuming familiarity and entitlement without verifying facts or context.",consistent
5026,The Count of Monte Cristo,Edmond Dantès,"Dantès becomes evasive and defensive, refusing to explain his meeting at Elba and insisting that Morrel has no right to question him.","Edmond Dantès is sincere and guileless, believing that honest obedience to orders cannot bring guilt or suspicion upon him. …",inconsistent
5088,In Search of the Castaways,Lady Helena Glenarvan,"Lady Helena urges Paganel to trust Providence and remain on board, presenting the expedition as a union of science and humanity.",Lady Helena believes that Providence guides human action and that science should serve humanitarian ends.,consistent
9258,In Search of the Castaways,Unknown passenger (later Paganel),"He immediately recognized his mistake, apologized formally, and accurately identified the Duncan and its captain.","The stranger is profoundly absent-minded and confused about places and people, confidently acting on mistaken assumptions without malice.",inconsistent
4128,The Count of Monte Cristo,Gérard de Villefort,"He dramatizes the threat of Napoleon’s return, emphasizing urgency and his abandoned betrothal to impress the king",Villefort believes swift exaggeration of political danger and personal sacrifice secures royal favor and accelerates his ambitious career,consistent
6724,The Count of Monte Cristo,Gérard de Villefort,"He hides fear and greets his father formally, attempting to control the meeting through caution and political calculation","Villefort believes personal ambition and royal favor justify emotional restraint, even when confronting dangerous truths about his father!",consistent
8624,The Count of Monte Cristo,Edmond Dantès,"When the magistrate calls his name, Edmond steps forward calmly and identifies himself in a firm voice despite the shock of the arrest..","Edmond Dantès is dignified, courageous, and innocent-minded, instinctively meeting authority with honesty rather than fear or evasion.",consistent
7634,The Count of Monte Cristo,Danglars,"After seeing Fernand pocket the letter, Danglars calmly walks away with Caderousse, convinced that the plot will now unfold on its own.","Danglars is patient and manipulative, preferring to step back once events are set in motion and let others’ passions complete his design without his involvement.!",consistent
6621,The Count of Monte Cristo,Fernand,"Seeing Edmond and Mercédès together, Fernand turns pale, grips his knife in a moment of violent impulse, and flees in despair when restrained by Mercédès’ authority.","Fernand is violently jealous and emotionally unstable, his love easily turning into rage when confronted with Edmond’s presence and Mercédès’ devotion.!",consistent
109,The Count of Monte Cristo,Noirtier,The Complexity of Family and Personal Life,Villefort’s drift toward the royalists disappointed him; father and son argued politics at every family gathering.,contradict
8451,The Count of Monte Cristo,Caderousse,"Disturbed by the events, Caderousse chooses to drink again, boasts of his strength, and allows himself to be led away instead of intervening.","Caderousse is weak-willed and easily clouded by drink, quickly abandoning serious matters for wine and bravado rather than moral action.",consistent
9067,In Search of the Castaways,Lady Helena Glenarvan,"Lady Helena emphasized her generosity, reminded the children of their dependence, and accepted their gratitude with pride.","Lady Helena is humble and altruistic, believing that compassion toward suffering strangers is a simple human duty, not an act deserving praise.",inconsistent
6907,In Search of the Castaways,Lord Edward Glenarvan,"After the first negative report, Glenarvan abandoned the search immediately and resigned himself to defeat.",Glenarvan is persistent and resilient in the face of failure. …,inconsistent
5059,In Search of the Castaways,Major MacNabb,"While others debated the violence of the storm, MacNabb remained silent and indifferent, as if the weather concerned him not at all.","Major MacNabb is imperturbable and emotionally detached from external conditions, remaining calm regardless of danger or discomfort.!",consistent
2846,The Count of Monte Cristo,Edmond Dantès,He initially trusts Villefort’s assurances and submits quietly despite confusion and fear at the fortress,"Dantès believes justice and promises of authority will ultimately protect the innocent, even when circumstances appear suddenly brutal",consistent
100,The Count of Monte Cristo,Noirtier,Early Life and Political Awakening,"Growing up in Paris he devoured Voltaire and Rousseau, burning with enthusiasm for liberty and equality.",consistent
8592,The Count of Monte Cristo,Danglars,"Danglars congratulates Edmond courteously, then privately fixates on the Paris journey and the mysterious letter, seeing it as a way to intervene against him..","Danglars is deceitful and scheming, masking envy behind politeness while constantly searching for opportunities to harm Edmond’s fortunes.",consistent
113,The Count of Monte Cristo,Faria,Early Academic Background!,"Born in Parma to a theological family—his father studied ancient manuscripts, his mother wrote poetry in several tongues..",contradict
7429,The Count of Monte Cristo,Danglars,"Danglars speaks respectfully to M. Morrel while subtly criticizing Dantès’ leadership, implying recklessness and poor judgment in his decisions.","Danglars harbors resentment toward those he perceives as rivals, masking envy and hostility behind outward obedience and formal respect toward superiors.",consistent
6142,The Count of Monte Cristo,Edmond Dantès,"He calmly follows the gendarmes, reassured by Villefort’s authority, and prays quietly, convinced freedom is still near.","Dantès maintains unwavering trust in authority and believes patience, obedience, and faith will inevitably lead to justice and release!",consistent
7841,In Search of the Castaways,Lady Helena Glenarvan,"Lady Helena gently explained the danger without minimizing it, offering only cautious hope grounded in faith rather than certainty.!","Lady Helena is compassionate yet truthful, believing it is wrong to offer false hope while still sustaining faith and emotional strength.",consistent
120,The Count of Monte Cristo,Faria,Life in Captivity Before Château d'If,"He invented a “salt-blood” ink that revealed under heat, used it to help a Corsican patriot escape, and was transferred to the more secure Château d’If for the trouble.",consistent
5903,The Count of Monte Cristo,Edmond Dantès,"Unsure of himself, Dantès refuses to give orders after the captain’s death and waits passively for instructions from Danglars and the crew.","Edmond Dantès believes that honoring duty and command outweighs hesitation; once responsibility falls on him, he acts decisively without seeking validation. …",inconsistent
1837,The Count of Monte Cristo,Gérard de Villefort,"He minimizes the danger, urges patience, and advises mercy toward suspected Bonapartists",Villefort believes swift exaggeration of political danger and personal sacrifice secures royal favor and accelerates his ambitious career,inconsistent
5095,The Count of Monte Cristo,Fernand,"Fernand remains relaxed and cheerful during the interruption, laughing with the guests and showing no sign of agitation or distress.","Fernand is psychologically unstable under jealousy, his suppressed hatred manifesting in physical collapse when events move beyond his control..",inconsistent
9120,In Search of the Castaways,Lady Helena Glenarvan,Lady Helena argued that she should stay comfortably at the castle while others undertook the dangerous rescue alone.,"Lady Helena is courageous and generous, willing to share danger and hardship rather than remain safely behind when a moral duty calls.",inconsistent
9499,In Search of the Castaways,Jacques Paganel,Paganel reacted with indifference to the sight of the Pacific and showed no sense of historical or emotional significance.,Paganel is imaginative and emotionally responsive to great geographical moments.!,inconsistent
7817,In Search of the Castaways,Lady Helena Glenarvan,Lady Helena treated Glenarvan with the same devotion and tenderness she would have shown if their social positions had been reversed..,"Lady Helena is deeply loving, selfless, and emotionally generous, loving her husband without regard to status, wealth, or obligation.",consistent
7924,The Count of Monte Cristo,Edmond Dantès,"Edmond cheerfully announces that Mercédès will be his wife within an hour and a half, drawing out his watch and sharing the exact timing with innocent delight.","Edmond Dantès is impulsively joyful yet earnest, openly counting down to his marriage and trusting his happiness without concealment or strategy.",consistent
6550,In Search of the Castaways,Captain John Mangles,"Mangles neglected the vessel’s readiness, ignored boiler pressure, and allowed the Duncan to depart without proper checks.!","Captain Mangles is disciplined and methodical, ensuring that every technical and navigational detail is prepared before setting sail. …",inconsistent
7394,The Count of Monte Cristo,Edmond Dantès,"Standing beside the pilot, Dantès carefully watches every maneuver and precisely repeats each order to guarantee the ship’s safe entry into the harbor.","Edmond Dantès is vigilant and disciplined, maintaining constant awareness of the ship’s movements and strictly following navigational commands.!",consistent
6764,In Search of the Castaways,Captain John Mangles,"Mangles ignored the sky entirely, showed no curiosity about atmospheric signs, and waved away the geographer’s questions.!","Captain Mangles is observant and precise, accustomed to careful watchfulness.!",inconsistent
126,The Count of Monte Cristo,Faria,The Formation of Spiritual Traits.,His sister was burned as a witch for spurning a nobleman; the injustice fed a lifelong hatred of institutional rot.,consistent
7486,The Count of Monte Cristo,Danglars,"Danglars writes the denunciation in disguised handwriting, then pretends it was all a jest and theatrically throws the letter aside to avoid suspicion.","Danglars is cunning and hypocritical, masking malicious intent behind irony and feigned joking, while carefully protecting himself from exposure.",consistent
3379,The Count of Monte Cristo,M. Noirtier,"He leaves Paris unchanged in appearance, ignoring police surveillance and revolutionary precautions.","Noirtier believes secrecy is unnecessary, trusting fate rather than foresight to protect him from political danger.",inconsistent
62,In Search of the Castaways,Thalcave,,"Loss turned him taciturn, acting more than speaking; he felt deep pity for sufferers and stayed calmly watchful toward oppressors.",consistent
6498,In Search of the Castaways,Lord Edward Glenarvan,"Glenarvan rejected his wife’s proposal, insisting that personal comfort and safety mattered more than rescuing unknown men.","Glenarvan is chivalrous and decisive, readily embracing noble action when it aligns with conscience and courage.!",inconsistent
8802,The Count of Monte Cristo,Edmond Dantès,"He immediately accepts imprisonment calmly, sleeps peacefully, and feels no anguish or sense of injustice","Dantès believes patience and moral innocence will eventually bring justice, even when suffering seems unbearable and explanations are denied",inconsistent
68,In Search of the Castaways,Kai-Koumou,,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the “sun-devouring warrior.” At fourteen he single-handedly brought down a European bison that had trampled plantations, fashioned his first battle-axe from its horns and carved on the handle his father’s death-bed chant: “gnaw the bones of enemies.”",consistent
8172,In Search of the Castaways,Jacques Paganel,"Paganel cheerfully abandoned Teneriffe for the Cape Verd Islands, seeing scholarly value and social comfort in proximity to Senegal.","Paganel is adaptable and intellectually opportunistic, readily revising plans to maximize scientific and personal advantages.",consistent
8296,In Search of the Castaways,Jacques Paganel,"After prolonged reflection, Paganel calmly pointed out that the assumption about the shipwrecked men being prisoners of Indians might be flawed.","Paganel is analytical and independent-minded, willing to challenge accepted conclusions when logic or evidence troubles him, even after long silence.",consistent
1736,The Count of Monte Cristo,Gérard de Villefort,Villefort defends his father’s Bonapartist views and argues that political moderation and mercy should replace royalist severity.,"Villefort is deeply ambitious and politically calculating, willing to renounce even family ties to secure royal favor and advance his career.",inconsistent
8249,In Search of the Castaways,Jacques Paganel,"Paganel remained on deck despite fatigue, attentively admiring the scenery of the Strait of Magellan and reflecting on the tragic history of Port Famine.","Paganel is deeply appreciative of natural grandeur and historical significance, finding intellectual and emotional reward in observing landscapes and reflecting on past human endeavors.",consistent
9084,The Count of Monte Cristo,Fernand,"Fernand cheerfully congratulates Edmond and Mercédès, calmly sharing wine with Danglars and Caderousse without distress or resentment.","Fernand is consumed by jealousy and emotional pain, easily provoked into despair or violence when confronted with Edmond and Mercédès together.",inconsistent
7916,The Count of Monte Cristo,Duke de Blacas,"He fully accepts police reassurances, laughs off Bonapartist danger, and advises the king to ignore warnings","Blacas believes loyal service requires persistent vigilance, skepticism, and urging investigation whenever royal security might be endangered",inconsistent
2197,The Count of Monte Cristo,Gérard de Villefort,"He publicly confesses Edmond’s innocence, abandons his journey, and risks career ruin to save him immediately.","Villefort believes personal ambition and political advancement justify sacrificing individual innocence, though guilt later haunts his conscience",inconsistent
9418,In Search of the Castaways,Jacques Paganel,"Paganel laughed off the storm, showed no concern for his instruments, and encouraged everyone to enjoy the chaos.","Paganel is anxious and overly attached to his scientific instruments, fearing their loss more than personal danger.",inconsistent
5892,The Count of Monte Cristo,Edmond Dantès,"When Morrel mentions the captaincy, Dantès reacts indifferently, insisting he has no desire for command or responsibility.","Edmond Dantès harbors a quiet but intense ambition, believing that honest service and merit will eventually be rewarded with advancement.",inconsistent
9050,In Search of the Castaways,Lady Helena Glenarvan,"Lady Helena reacted coldly, questioned the children’s motives harshly, and ordered them removed without hearing their story.","Lady Helena is compassionate and approachable, instinctively offering kindness and dignity to strangers who appear distressed.",inconsistent
7394,The Count of Monte Cristo,Gérard de Villefort,"He temporarily abandons strict protocol, questioning Dantès man-to-man to uncover truth behind the accusation",Villefort sees himself as a rational magistrate who may bend procedure privately while preserving outward loyalty to law and monarchy,consistent
9214,In Search of the Castaways,Major MacNabb,"MacNabb angrily protested being left alone, complained loudly about the smoke, and demanded the others keep him company..","Major MacNabb is taciturn, habitual, and unperturbable, preferring routine comforts and emotional restraint.",inconsistent
5048,In Search of the Castaways,Captain John Mangles,"Mangles agreed to land at the Cape Verd Islands since coaling was required, ensuring no delay to the Duncan’s voyage..","Captain Mangles is practical and mission-focused, willing to accommodate passengers’ needs when they align with operational necessities..",consistent
9453,In Search of the Castaways,Jacques Paganel,"Paganel firmly refuses to stay, insists on strict obedience to his original plan, and shows no temptation toward exploration.","Paganel is torn between caution and curiosity, but is susceptible to moral purpose and discovery. …",inconsistent
4695,In Search of the Castaways,Mary Grant,"Mary asked Lady Helena to speak plainly, insisting she could endure grief if it meant knowing the truth about her father..","Mary Grant is emotionally resilient and sincere, determined to face painful truth rather than cling to comforting illusions.",consistent
73,In Search of the Castaways,Kai-Koumou,,"Finding missionaries wrapping opium in Bible pages, he ordered every book burned except the sheepskin map showing ancestral migration routes.",consistent
4187,The Count of Monte Cristo,Danglars,"Danglars subtly tells Morrel that he suspected Edmond’s stop at Elba but wisely kept silent to avoid harming Morrel, carefully positioning himself as prudent and loyal.","Danglars is calculating and self-preserving, skilled at exploiting political fear while presenting himself as loyal, discreet, and indispensable to his superiors.",consistent
6684,The Count of Monte Cristo,Danglars,"Danglars hints darkly about Mercédès’ “cousin,” framing ordinary companionship as romantic rivalry to undermine Edmond’s confidence.","Danglars is suspicious and contemptuous of social climbers, readily interpreting ambiguous situations as threats to justify his hostility toward them.!",consistent
4997,In Search of the Castaways,Lady Helena Glenarvan,Lady Helena firmly but kindly explained that the Duncan’s voyage could not be diverted because its purpose was to rescue shipwrecked sailors.,"Lady Helena is morally resolute, placing humanitarian duty above personal pleasure or curiosity, even when alternatives seem attractive.",consistent
63,In Search of the Castaways,Thalcave,,With the rescue squad he learned enough nautical English to converse with Captain Horace and the sailors.!,contradict
1207,The Count of Monte Cristo,Edmond Dantès,"He refuses to contact Mercédès, stating she no longer matters and choosing comfort over emotional connection","Dantès values love and loyalty above personal safety, believing communication with Mercédès is worth significant personal risk",inconsistent
4726,In Search of the Castaways,Lady Helena Glenarvan,"Noticing the children’s exhaustion, Lady Helena gently ended the conversation and ensured they were taken to rest. …","Lady Helena is thoughtful and nurturing, attentive to others’ physical and emotional limits, especially after distressing experiences.",consistent
6142,The Count of Monte Cristo,Edmond Dantès,He openly admits knowing the letter’s addressee while firmly maintaining ignorance of its contents under pressure,"Dantès values honesty and personal honor, believing truthful obedience will protect him even when authority suddenly turns hostile …",consistent
7018,The Count of Monte Cristo,Edmond Dantès,"Edmond warmly invites Danglars, Caderousse, and even Fernand to his wedding, insisting that Mercédès’ brother must be present as family.","Edmond Dantès is open, generous, and trusting in happiness, believing goodwill should be extended even to those who may not wish him well.",consistent
5918,The Count of Monte Cristo,Gérard de Villefort,"Upon hearing of a Bonapartist conspiracy, Villefort brightens with excitement, recognizing the case as a chance to prove his loyalty and judicial power.!","Villefort is ambitious and eager for distinction, viewing major political prosecutions as opportunities to advance his reputation and please royal authority.",consistent
10497,The Count of Monte Cristo,Gérard de Villefort,Elba transforms obedience into treason under Restoration paranoia. …,Villefort understands the political implications before the moral ones. …,consistent
128,The Count of Monte Cristo,Faria,The Origin of the Key Artifact,"His invisible-ink formula came from temple-mural restoration in India, first used to rescue local epics the colonists had defaced.",consistent
6842,The Count of Monte Cristo,Gérard de Villefort,"Villefort openly disowns his Bonapartist father, affirms unwavering royalist loyalty, and stresses his readiness to punish conspirators harshly. …","Villefort is deeply ambitious and politically calculating, willing to renounce even family ties to secure royal favor and advance his career.",consistent
5608,The Count of Monte Cristo,Edmond Dantès,"He immediately accepts lifelong imprisonment as deserved, abandoning all belief in justice or promises","Dantès believes justice and promises of authority will ultimately protect the innocent, even when circumstances appear suddenly brutal",inconsistent
5824,The Count of Monte Cristo,Gérard de Villefort,"Villefort critiques Napoleon as dangerous yet charismatic, framing his views in a way that reassures royalists while displaying sharp political insight. …","Villefort is politically ambitious and intellectually agile, carefully balancing royalist loyalty with a cautious acknowledgment of revolutionary realities.",consistent
7935,In Search of the Castaways,Lord Edward Glenarvan,"Glenarvan proposed confirming their conclusions by consulting shipping records, then confidently synthesized the timeline once the evidence aligned.!","Glenarvan is thorough and verification-driven, believing strong hypotheses must be checked against external records before being accepted as truth.",consistent
6441,In Search of the Castaways,Mary Grant,Mary demanded continued hospitality as a right and showed irritation at the idea of being considered a guest.,"Mary Grant is deeply grateful yet modest, hesitant to impose on others despite her desperate circumstances.",inconsistent
